cust_id,prod_id,product_name,category,purchase_amt,purchase_date
CUST053,PROD028,Essential Oils,Aromatherapy,35.99,2024-04-28 10:28:15
CUST229,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-04-18 22:43:53
CUST245,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-10-07 09:11:20
CUST491,PROD039,Feminine Wash,Hygiene,96.49,2024-01-09 03:02:18
CUST497,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-01-04 22:01:27
CUST323,PROD037,Hand Sanitizer,Hygiene,6.99,2024-06-10 19:22:20
CUST063,PROD029,Aroma Candles,Aromatherapy,63.49,2024-12-26 19:25:05
CUST561,PROD011,Nail Polish,Nail Care,23.49,2024-10-05 12:07:10
CUST275,PROD014,Cuticle Oil,Nail Care,18.99,2024-11-01 16:00:58
CUST308,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-05-28 14:35:52
CUST482,PROD009,Face Scrub,Skin Care,52.49,2024-05-18 23:07:17
CUST190,PROD018,Deodorant,Body Care,43.99,2024-12-09 20:26:12
CUST391,PROD005,Hair Mask,Hair Care,48.49,2024-04-16 14:25:45
CUST547,PROD018,Deodorant,Body Care,43.99,2024-12-10 08:39:50
CUST048,PROD015,Body Lotion,Body Care,58.99,2024-06-09 13:31:01
CUST030,PROD004,Hair Serum,Hair Care,85.49,2024-09-18 12:51:53
CUST411,PROD027,Blush,Makeup,53.99,2024-05-31 11:11:38
CUST030,PROD006,Face Wash,Skin Care,58.99,2024-01-26 02:42:57
CUST281,PROD010,Toner,Skin Care,98.49,2024-04-23 00:14:16
CUST159,PROD004,Hair Serum,Hair Care,85.49,2024-09-10 06:51:33
CUST412,PROD001,Shampoo,Hair Care,45.49,2024-09-07 08:06:45
CUST394,PROD040,Perfume,Fragrance,31.99,2024-10-31 09:04:57
CUST205,PROD034,Razor,Shaving,21.49,2024-05-09 23:48:28
CUST481,PROD013,Nail Strengthener,Nail Care,58.49,2024-06-11 20:51:12
CUST348,PROD025,Eyeliner,Makeup,12.49,2024-02-20 19:44:49
CUST133,PROD007,Moisturizer,Skin Care,43.49,2024-07-06 04:18:59
CUST316,PROD018,Deodorant,Body Care,43.99,2024-08-03 15:49:10
CUST149,PROD031,Toothpaste,Oral Care,49.99,2024-11-23 11:18:38
CUST373,PROD005,Hair Mask,Hair Care,48.49,2024-12-13 09:40:17
CUST460,PROD029,Aroma Candles,Aromatherapy,63.49,2024-05-29 15:47:19
CUST447,PROD010,Toner,Skin Care,98.49,2024-05-24 09:55:28
CUST422,PROD023,Foundation,Makeup,44.49,2024-10-23 17:37:50
CUST126,PROD021,Straightener,Tools/Accessories,78.99,2024-06-17 20:44:22
CUST402,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-07-02 22:03:06
CUST181,PROD016,Body Wash,Body Care,7.49,2024-01-15 14:10:16
CUST236,PROD034,Razor,Shaving,21.49,2024-07-10 01:22:14
CUST401,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-02-08 04:32:37
CUST151,PROD012,Nail Remover,Nail Care,96.49,2024-08-12 16:45:41
CUST411,PROD027,Blush,Makeup,53.99,2024-06-06 22:23:56
CUST205,PROD032,Mouthwash,Oral Care,48.49,2024-02-20 18:15:34
CUST177,PROD005,Hair Mask,Hair Care,48.49,2024-07-19 00:11:45
CUST582,PROD040,Perfume,Fragrance,31.99,2024-04-15 06:48:45
CUST155,PROD042,Cologne,Fragrance,56.99,2024-10-12 08:36:58
CUST016,PROD040,Perfume,Fragrance,31.99,2024-01-04 15:35:55
CUST243,PROD016,Body Wash,Body Care,7.49,2024-09-06 17:54:58
CUST551,PROD010,Toner,Skin Care,98.49,2024-12-16 09:47:02
CUST516,PROD042,Cologne,Fragrance,56.99,2024-02-01 10:05:30
CUST036,PROD006,Face Wash,Skin Care,58.99,2024-05-17 09:20:19
CUST172,PROD041,Body Mist,Fragrance,98.49,2024-11-30 17:00:01
CUST506,PROD002,Conditioner,Hair Care,89.49,2024-09-13 22:05:49
CUST010,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-04-04 01:34:50
CUST015,PROD009,Face Scrub,Skin Care,52.49,2024-01-09 12:22:45
CUST551,PROD030,Diffusers,Aromatherapy,82.49,2024-08-20 09:33:06
CUST529,PROD017,Body Scrub,Body Care,82.49,2024-04-10 01:28:37
CUST057,PROD014,Cuticle Oil,Nail Care,18.99,2024-10-26 01:07:10
CUST144,PROD006,Face Wash,Skin Care,58.99,2024-09-27 06:39:40
CUST589,PROD012,Nail Remover,Nail Care,96.49,2024-06-16 02:15:59
CUST297,PROD003,Hair Oil,Hair Care,35.49,2024-03-29 05:06:04
CUST595,PROD036,Aftershave,Shaving,43.49,2024-08-01 07:38:47
CUST388,PROD006,Face Wash,Skin Care,58.99,2024-12-03 02:50:31
CUST500,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-05-13 08:46:09
CUST357,PROD034,Razor,Shaving,21.49,2024-06-14 07:02:15
CUST155,PROD025,Eyeliner,Makeup,12.49,2024-03-08 01:41:17
CUST516,PROD027,Blush,Makeup,53.99,2024-01-31 14:36:48
CUST081,PROD024,Lipstick,Makeup,84.49,2024-12-09 01:16:45
CUST260,PROD042,Cologne,Fragrance,56.99,2024-02-12 03:51:34
CUST117,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-10-01 02:45:57
CUST349,PROD030,Diffusers,Aromatherapy,82.49,2024-09-10 09:13:46
CUST102,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-08-22 18:56:44
CUST489,PROD013,Nail Strengthener,Nail Care,58.49,2024-12-23 23:10:38
CUST198,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-03-06 02:29:09
CUST306,PROD001,Shampoo,Hair Care,45.49,2024-03-14 14:34:55
CUST033,PROD009,Face Scrub,Skin Care,52.49,2024-04-04 05:50:09
CUST351,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-09-28 03:45:15
CUST408,PROD041,Body Mist,Fragrance,98.49,2024-07-20 11:28:47
CUST532,PROD042,Cologne,Fragrance,56.99,2024-07-22 07:11:44
CUST523,PROD002,Conditioner,Hair Care,89.49,2024-04-03 10:17:34
CUST554,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-10-05 20:46:05
CUST340,PROD008,Sunscreen,Skin Care,65.99,2024-08-07 16:49:30
CUST279,PROD029,Aroma Candles,Aromatherapy,63.49,2024-09-08 07:03:08
CUST467,PROD017,Body Scrub,Body Care,82.49,2024-04-18 11:03:34
CUST534,PROD040,Perfume,Fragrance,31.99,2024-04-22 15:25:47
CUST359,PROD032,Mouthwash,Oral Care,48.49,2024-09-08 15:33:40
CUST062,PROD017,Body Scrub,Body Care,82.49,2024-08-15 11:50:20
CUST311,PROD042,Cologne,Fragrance,56.99,2024-05-03 03:38:07
CUST325,PROD032,Mouthwash,Oral Care,48.49,2024-06-21 01:58:21
CUST224,PROD031,Toothpaste,Oral Care,49.99,2024-02-23 00:47:38
CUST154,PROD023,Foundation,Makeup,44.49,2024-03-09 11:32:37
CUST571,PROD025,Eyeliner,Makeup,12.49,2024-04-18 19:51:33
CUST270,PROD030,Diffusers,Aromatherapy,82.49,2024-08-01 01:16:38
CUST582,PROD038,Wet Wipes,Hygiene,56.49,2024-06-04 07:08:52
CUST018,PROD015,Body Lotion,Body Care,58.99,2024-12-23 23:46:10
CUST243,PROD018,Deodorant,Body Care,43.99,2024-08-22 07:09:55
CUST036,PROD029,Aroma Candles,Aromatherapy,63.49,2024-06-01 11:44:52
CUST354,PROD029,Aroma Candles,Aromatherapy,63.49,2024-10-09 19:04:34
CUST536,PROD031,Toothpaste,Oral Care,49.99,2024-05-15 15:53:15
CUST045,PROD021,Straightener,Tools/Accessories,78.99,2024-03-11 08:45:04
CUST122,PROD023,Foundation,Makeup,44.49,2024-05-05 03:37:26
CUST393,PROD016,Body Wash,Body Care,7.49,2024-05-07 02:47:17
CUST062,PROD034,Razor,Shaving,21.49,2024-05-14 14:20:56
CUST312,PROD012,Nail Remover,Nail Care,96.49,2024-03-28 17:45:59
CUST464,PROD025,Eyeliner,Makeup,12.49,2024-09-14 12:35:43
CUST015,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-12-23 18:55:00
CUST495,PROD003,Hair Oil,Hair Care,35.49,2024-12-30 05:21:56
CUST126,PROD002,Conditioner,Hair Care,89.49,2024-01-08 13:12:50
CUST234,PROD035,Shaving Cream,Shaving,46.49,2024-06-15 19:00:46
CUST237,PROD023,Foundation,Makeup,44.49,2024-03-19 01:06:20
CUST306,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-11-07 12:48:47
CUST072,PROD004,Hair Serum,Hair Care,85.49,2024-04-11 22:36:45
CUST586,PROD030,Diffusers,Aromatherapy,82.49,2024-03-16 08:41:18
CUST249,PROD015,Body Lotion,Body Care,58.99,2024-07-28 16:55:57
CUST042,PROD010,Toner,Skin Care,98.49,2024-04-12 10:03:24
CUST021,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-08-23 01:40:39
CUST573,PROD024,Lipstick,Makeup,84.49,2024-11-17 05:31:35
CUST323,PROD001,Shampoo,Hair Care,45.49,2024-02-24 16:46:52
CUST270,PROD018,Deodorant,Body Care,43.99,2024-11-06 18:36:36
CUST466,PROD014,Cuticle Oil,Nail Care,18.99,2024-10-16 21:08:51
CUST355,PROD023,Foundation,Makeup,44.49,2024-11-26 02:53:23
CUST037,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-03-06 11:50:20
CUST191,PROD023,Foundation,Makeup,44.49,2024-07-02 18:30:19
CUST342,PROD039,Feminine Wash,Hygiene,96.49,2024-10-19 21:10:14
CUST352,PROD012,Nail Remover,Nail Care,96.49,2024-11-01 09:30:37
CUST575,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-05-02 12:53:32
CUST242,PROD015,Body Lotion,Body Care,58.99,2024-04-23 17:34:29
CUST460,PROD032,Mouthwash,Oral Care,48.49,2024-02-17 02:09:54
CUST435,PROD004,Hair Serum,Hair Care,85.49,2024-02-10 07:33:42
CUST361,PROD031,Toothpaste,Oral Care,49.99,2024-11-18 15:03:06
CUST040,PROD003,Hair Oil,Hair Care,35.49,2024-05-09 01:55:47
CUST107,PROD007,Moisturizer,Skin Care,43.49,2024-05-29 12:24:57
CUST167,PROD038,Wet Wipes,Hygiene,56.49,2024-08-01 06:32:25
CUST026,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-08-03 12:22:14
CUST478,PROD002,Conditioner,Hair Care,89.49,2024-12-19 06:35:36
CUST526,PROD013,Nail Strengthener,Nail Care,58.49,2024-08-01 00:54:05
CUST133,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-04-02 22:10:04
CUST193,PROD008,Sunscreen,Skin Care,65.99,2024-05-02 13:09:38
CUST452,PROD024,Lipstick,Makeup,84.49,2024-11-14 12:08:09
CUST441,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-04-18 14:06:35
CUST599,PROD036,Aftershave,Shaving,43.49,2024-10-20 09:26:32
CUST211,PROD034,Razor,Shaving,21.49,2024-07-25 12:32:56
CUST023,PROD024,Lipstick,Makeup,84.49,2024-01-06 13:04:11
CUST532,PROD014,Cuticle Oil,Nail Care,18.99,2024-06-23 23:27:48
CUST046,PROD010,Toner,Skin Care,98.49,2024-03-01 11:07:26
CUST380,PROD032,Mouthwash,Oral Care,48.49,2024-12-01 19:57:28
CUST485,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-12-14 03:19:18
CUST258,PROD032,Mouthwash,Oral Care,48.49,2024-09-04 07:24:44
CUST027,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-08-22 08:52:43
CUST410,PROD003,Hair Oil,Hair Care,35.49,2024-03-19 18:17:59
CUST254,PROD031,Toothpaste,Oral Care,49.99,2024-08-03 03:55:49
CUST159,PROD041,Body Mist,Fragrance,98.49,2024-11-17 08:46:18
CUST487,PROD030,Diffusers,Aromatherapy,82.49,2024-02-06 07:43:21
CUST454,PROD021,Straightener,Tools/Accessories,78.99,2024-04-02 17:05:42
CUST591,PROD023,Foundation,Makeup,44.49,2024-04-08 22:35:31
CUST122,PROD035,Shaving Cream,Shaving,46.49,2024-02-04 12:14:59
CUST178,PROD042,Cologne,Fragrance,56.99,2024-08-19 19:17:38
CUST473,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-07-22 22:05:08
CUST438,PROD004,Hair Serum,Hair Care,85.49,2024-11-27 21:30:45
CUST142,PROD002,Conditioner,Hair Care,89.49,2024-07-06 14:11:12
CUST599,PROD024,Lipstick,Makeup,84.49,2024-05-16 08:12:57
CUST137,PROD005,Hair Mask,Hair Care,48.49,2024-01-06 22:01:34
CUST337,PROD034,Razor,Shaving,21.49,2024-12-23 08:46:09
CUST396,PROD032,Mouthwash,Oral Care,48.49,2024-04-24 17:58:50
CUST472,PROD003,Hair Oil,Hair Care,35.49,2024-05-02 09:26:21
CUST161,PROD024,Lipstick,Makeup,84.49,2024-01-26 21:05:28
CUST280,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-10-21 01:40:52
CUST126,PROD027,Blush,Makeup,53.99,2024-07-16 19:04:06
CUST220,PROD008,Sunscreen,Skin Care,65.99,2024-11-10 23:00:16
CUST333,PROD013,Nail Strengthener,Nail Care,58.49,2024-07-20 03:21:59
CUST047,PROD017,Body Scrub,Body Care,82.49,2024-09-28 12:57:13
CUST373,PROD023,Foundation,Makeup,44.49,2024-03-31 10:22:03
CUST092,PROD027,Blush,Makeup,53.99,2024-02-20 09:45:12
CUST358,PROD035,Shaving Cream,Shaving,46.49,2024-03-30 20:56:05
CUST528,PROD002,Conditioner,Hair Care,89.49,2024-08-15 22:48:58
CUST231,PROD032,Mouthwash,Oral Care,48.49,2024-10-13 04:33:18
CUST573,PROD027,Blush,Makeup,53.99,2024-04-07 09:41:17
CUST335,PROD015,Body Lotion,Body Care,58.99,2024-03-26 22:00:42
CUST436,PROD015,Body Lotion,Body Care,58.99,2024-01-04 05:30:22
CUST309,PROD032,Mouthwash,Oral Care,48.49,2024-08-27 19:53:01
CUST435,PROD011,Nail Polish,Nail Care,23.49,2024-12-29 02:19:29
CUST053,PROD027,Blush,Makeup,53.99,2024-12-09 09:50:50
CUST180,PROD006,Face Wash,Skin Care,58.99,2024-02-01 07:49:02
CUST330,PROD028,Essential Oils,Aromatherapy,35.99,2024-12-26 14:11:14
CUST313,PROD021,Straightener,Tools/Accessories,78.99,2024-05-01 16:51:16
CUST171,PROD036,Aftershave,Shaving,43.49,2024-09-28 16:35:54
CUST034,PROD027,Blush,Makeup,53.99,2024-10-23 20:38:45
CUST070,PROD002,Conditioner,Hair Care,89.49,2024-08-01 17:46:26
CUST149,PROD028,Essential Oils,Aromatherapy,35.99,2024-04-01 10:24:33
CUST533,PROD004,Hair Serum,Hair Care,85.49,2024-05-16 21:35:55
CUST123,PROD010,Toner,Skin Care,98.49,2024-09-08 21:13:22
CUST347,PROD004,Hair Serum,Hair Care,85.49,2024-01-20 17:01:16
CUST371,PROD010,Toner,Skin Care,98.49,2024-03-30 21:21:06
CUST393,PROD036,Aftershave,Shaving,43.49,2024-12-30 12:07:14
CUST027,PROD025,Eyeliner,Makeup,12.49,2024-04-19 01:23:02
CUST135,PROD031,Toothpaste,Oral Care,49.99,2024-02-16 01:08:59
CUST134,PROD004,Hair Serum,Hair Care,85.49,2024-07-07 06:39:20
CUST547,PROD002,Conditioner,Hair Care,89.49,2024-12-04 11:50:22
CUST115,PROD007,Moisturizer,Skin Care,43.49,2024-10-14 08:04:44
CUST550,PROD013,Nail Strengthener,Nail Care,58.49,2024-09-03 08:58:48
CUST299,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-07-04 09:44:53
CUST188,PROD031,Toothpaste,Oral Care,49.99,2024-04-07 18:17:30
CUST559,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-10-31 00:10:05
CUST342,PROD012,Nail Remover,Nail Care,96.49,2024-01-05 07:39:03
CUST359,PROD015,Body Lotion,Body Care,58.99,2024-02-19 16:53:39
CUST500,PROD026,Mascara,Makeup,70.99,2024-12-11 04:52:12
CUST393,PROD020,Hair Dryer,Tools/Accessories,96.99,2024-11-05 00:25:50
CUST068,PROD006,Face Wash,Skin Care,58.99,2024-01-20 17:39:51
CUST473,PROD031,Toothpaste,Oral Care,49.99,2024-01-22 04:06:36
CUST545,PROD029,Aroma Candles,Aromatherapy,63.49,2024-09-27 12:19:21
CUST574,PROD002,Conditioner,Hair Care,89.49,2024-01-11 19:11:11
CUST471,PROD028,Essential Oils,Aromatherapy,35.99,2024-06-06 02:59:34
CUST041,PROD012,Nail Remover,Nail Care,96.49,2024-01-05 12:44:12
CUST528,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-06-23 05:50:52
CUST428,PROD008,Sunscreen,Skin Care,65.99,2024-12-26 21:21:39
CUST350,PROD015,Body Lotion,Body Care,58.99,2024-02-20 14:51:14
CUST338,PROD015,Body Lotion,Body Care,58.99,2024-11-24 20:10:46
CUST458,PROD010,Toner,Skin Care,98.49,2024-04-05 15:50:44
CUST358,PROD012,Nail Remover,Nail Care,96.49,2024-06-22 14:20:32
CUST407,PROD021,Straightener,Tools/Accessories,78.99,2024-11-17 16:23:11
CUST369,PROD024,Lipstick,Makeup,84.49,2024-10-09 10:06:08
CUST376,PROD036,Aftershave,Shaving,43.49,2024-04-20 22:56:50
CUST339,PROD032,Mouthwash,Oral Care,48.49,2024-04-07 09:42:14
CUST493,PROD023,Foundation,Makeup,44.49,2024-10-04 11:26:43
CUST471,PROD022,Eyelash Curler,Tools/Accessories,77.49,2024-11-23 15:46:11
CUST120,PROD004,Hair Serum,Hair Care,85.49,2024-07-23 07:29:22
CUST108,PROD032,Mouthwash,Oral Care,48.49,2024-08-20 16:44:21
CUST079,PROD021,Straightener,Tools/Accessories,78.99,2024-02-04 01:15:50
CUST464,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-12-15 22:45:56
CUST352,PROD037,Hand Sanitizer,Hygiene,6.99,2024-05-19 23:15:21
CUST344,PROD025,Eyeliner,Makeup,12.49,2024-12-30 13:16:48
CUST234,PROD042,Cologne,Fragrance,56.99,2024-06-02 09:09:07
CUST567,PROD040,Perfume,Fragrance,31.99,2024-01-29 19:09:33
CUST162,PROD037,Hand Sanitizer,Hygiene,6.99,2024-04-12 05:19:10
CUST316,PROD016,Body Wash,Body Care,7.49,2024-10-13 06:48:10
CUST561,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-10-05 10:07:27
CUST272,PROD032,Mouthwash,Oral Care,48.49,2024-02-13 11:09:19
CUST431,PROD039,Feminine Wash,Hygiene,96.49,2024-10-24 11:13:28
CUST347,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-03-23 16:53:40
CUST462,PROD017,Body Scrub,Body Care,82.49,2024-03-02 21:32:31
CUST152,PROD023,Foundation,Makeup,44.49,2024-05-07 12:01:52
CUST477,PROD005,Hair Mask,Hair Care,48.49,2024-05-31 19:39:43
CUST275,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-02-19 22:06:30
CUST467,PROD025,Eyeliner,Makeup,12.49,2024-06-14 02:41:29
CUST021,PROD042,Cologne,Fragrance,56.99,2024-09-20 12:32:42
CUST203,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-04-15 23:15:46
CUST382,PROD040,Perfume,Fragrance,31.99,2024-01-06 17:07:08
CUST441,PROD027,Blush,Makeup,53.99,2024-05-30 13:26:50
CUST561,PROD005,Hair Mask,Hair Care,48.49,2024-09-17 07:54:59
CUST057,PROD017,Body Scrub,Body Care,82.49,2024-09-07 11:09:59
CUST149,PROD013,Nail Strengthener,Nail Care,58.49,2024-11-09 14:02:48
CUST430,PROD037,Hand Sanitizer,Hygiene,6.99,2024-07-25 05:14:50
CUST027,PROD001,Shampoo,Hair Care,45.49,2024-11-22 11:48:49
CUST008,PROD016,Body Wash,Body Care,7.49,2024-09-20 07:44:31
CUST269,PROD028,Essential Oils,Aromatherapy,35.99,2024-10-06 13:57:03
CUST133,PROD031,Toothpaste,Oral Care,49.99,2024-09-22 18:27:47
CUST535,PROD027,Blush,Makeup,53.99,2024-08-27 19:51:43
CUST463,PROD017,Body Scrub,Body Care,82.49,2024-06-14 09:25:22
CUST587,PROD030,Diffusers,Aromatherapy,82.49,2024-12-05 13:16:37
CUST359,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-07-16 10:56:15
CUST211,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-03-22 07:49:48
CUST374,PROD014,Cuticle Oil,Nail Care,18.99,2024-01-18 18:12:21
CUST138,PROD003,Hair Oil,Hair Care,35.49,2024-11-30 23:51:03
CUST048,PROD011,Nail Polish,Nail Care,23.49,2024-10-06 13:08:58
CUST411,PROD038,Wet Wipes,Hygiene,56.49,2024-01-17 07:22:57
CUST302,PROD003,Hair Oil,Hair Care,35.49,2024-07-14 17:32:05
CUST557,PROD027,Blush,Makeup,53.99,2024-07-22 21:18:41
CUST531,PROD039,Feminine Wash,Hygiene,96.49,2024-08-21 14:26:39
CUST315,PROD027,Blush,Makeup,53.99,2024-07-06 12:26:28
CUST302,PROD030,Diffusers,Aromatherapy,82.49,2024-04-20 02:54:59
CUST504,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-04-27 18:23:40
CUST349,PROD035,Shaving Cream,Shaving,46.49,2024-02-11 07:59:30
CUST045,PROD036,Aftershave,Shaving,43.49,2024-05-29 00:02:04
CUST520,PROD033,Teeth Whitening Kit,Oral Care,60.49,2024-07-19 13:35:42
CUST083,PROD021,Straightener,Tools/Accessories,78.99,2024-12-09 08:30:41
CUST283,PROD011,Nail Polish,Nail Care,23.49,2024-06-13 23:19:59
CUST170,PROD010,Toner,Skin Care,98.49,2024-02-29 17:05:02
CUST065,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-01-01 01:21:19
CUST192,PROD040,Perfume,Fragrance,31.99,2024-09-02 02:22:02
CUST490,PROD008,Sunscreen,Skin Care,65.99,2024-04-28 03:46:52
CUST335,PROD032,Mouthwash,Oral Care,48.49,2024-02-01 14:56:37
CUST465,PROD002,Conditioner,Hair Care,89.49,2024-03-07 23:10:39
CUST458,PROD036,Aftershave,Shaving,43.49,2024-03-07 17:24:25
CUST248,PROD031,Toothpaste,Oral Care,49.99,2024-07-16 15:52:41
CUST250,PROD012,Nail Remover,Nail Care,96.49,2024-03-19 23:18:55
CUST588,PROD039,Feminine Wash,Hygiene,96.49,2024-08-09 11:47:25
CUST057,PROD011,Nail Polish,Nail Care,23.49,2024-11-28 16:40:47
CUST339,PROD018,Deodorant,Body Care,43.99,2024-05-27 02:46:19
CUST063,PROD002,Conditioner,Hair Care,89.49,2024-08-05 20:12:17
CUST505,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-06-20 06:09:16
CUST204,PROD037,Hand Sanitizer,Hygiene,6.99,2024-12-05 16:26:44
CUST109,PROD023,Foundation,Makeup,44.49,2024-06-19 05:53:06
CUST572,PROD026,Mascara,Makeup,70.99,2024-10-11 20:41:16
CUST212,PROD007,Moisturizer,Skin Care,43.49,2024-11-28 07:04:44
CUST166,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-02-07 13:51:09
CUST319,PROD005,Hair Mask,Hair Care,48.49,2024-01-07 16:53:18
CUST201,PROD010,Toner,Skin Care,98.49,2024-05-13 05:52:43
CUST274,PROD002,Conditioner,Hair Care,89.49,2024-04-18 09:12:05
CUST108,PROD040,Perfume,Fragrance,31.99,2024-05-13 04:27:03
CUST232,PROD005,Hair Mask,Hair Care,48.49,2024-10-17 09:27:18
CUST480,PROD010,Toner,Skin Care,98.49,2024-03-30 03:52:38
CUST314,PROD019,Makeup Brushes,Tools/Accessories,30.49,2024-10-19 12:32:09
CUST084,PROD027,Blush,Makeup,53.99,2024-08-02 02:36:38
CUST479,PROD036,Aftershave,Shaving,43.49,2024-11-21 06:53:31
CUST024,PROD001,Shampoo,Hair Care,45.49,2024-09-13 14:13:00
CUST251,PROD014,Cuticle Oil,Nail Care,18.99,2024-02-23 19:16:06
CUST091,PROD025,Eyeliner,Makeup,12.49,2024-09-21 07:14:37
CUST179,PROD021,Straightener,Tools/Accessories,78.99,2024-04-18 10:59:01
CUST027,PROD027,Blush,Makeup,53.99,2024-03-03 21:35:15
CUST432,PROD013,Nail Strengthener,Nail Care,58.49,2024-01-23 12:24:03
CUST269,PROD043,Roll-on Deodorant,Fragrance,63.99,2024-10-23 05:54:34
CUST566,PROD042,Cologne,Fragrance,56.99,2024-02-16 10:28:27
CUST159,PROD026,Mascara,Makeup,70.99,2024-07-30 02:06:00
CUST556,PROD037,Hand Sanitizer,Hygiene,6.99,2024-12-20 10:12:09
CUST546,PROD017,Body Scrub,Body Care,82.49,2024-01-17 07:45:12
CUST184,PROD034,Razor,Shaving,21.49,2024-05-09 00:25:08
CUST586,PROD009,Face Scrub,Skin Care,52.49,2024-04-24 22:39:37
CUST547,PROD040,Perfume,Fragrance,31.99,2024-10-19 08:36:17
CUST175,PROD016,Body Wash,Body Care,7.49,2024-10-21 05:20:23
CUST370,PROD026,Mascara,Makeup,70.99,2024-10-15 02:27:01
CUST401,PROD040,Perfume,Fragrance,31.99,2024-09-05 23:52:04
CUST112,PROD006,Face Wash,Skin Care,58.99,2024-09-28 15:36:06
